,filename,patch_number,category,category_int,1_num_points,1_avg_birth,1_stddev_birth,1_skew_birth,1_percentile_25_birth,1_percentile_75_birth,1_iqr_birth,1_avg_death,1_stddev_death,1_skew_death,1_percentile_25_death,1_percentile_75_death,1_iqr_death,1_pers_entropy,0_num_points,0_num_points_less_eq_-2,0_avg_birth,0_stddev_birth,0_skew_birth,0_percentile_25_birth,0_percentile_75_birth,0_iqr_birth,0_avg_death,0_stddev_death,0_skew_death,0_percentile_25_death,0_percentile_75_death,0_iqr_death,0_pers_entropy
0,example_ellipses_20_1.tif,1,group_a,1,53.0,6.982052272220828,2.423046968619615,0.3216897515031132,5.656854152679443,8.246211051940918,2.5893568992614746,7.610950371004501,2.7522439673741137,0.2595450299156251,5.830951690673828,9.055385589599608,3.2244338989257795,3.1993657893465297,61.0,3.0,-1.4658427472974431,2.2395297123229354,-5.031075606553787,-1.0,-1.0,0.0,3.4556715210278828,1.7344957558801208,0.2090138622051955,2.17705100774765,5.0,2.82294899225235,3.968721926415084
1,example_ellipses_20_1.tif,2,group_a,1,45.0,7.284353303909302,3.3548432890981497,0.5369921135338868,4.242640495300293,9.433980941772464,5.19134044647217,7.915283950169881,3.6296524923747984,0.493184328428677,4.4721360206604,11.045360565185549,6.5732245445251465,3.0314147308467048,65.0,2.0,-1.3854385962853064,2.274987660108585,-6.245226684054763,-1.0,-1.0,0.0,3.288576321676373,1.6707426381047092,0.7864888015004036,2.0,4.242640495300293,2.242640495300293,4.056307248338175
2,example_ellipses_20_1.tif,3,group_a,1,48.0,6.859281589587529,1.854335155034903,0.1259329580862754,5.787427306175232,8.121320247650146,2.3338929414749146,7.630543361107509,2.274702798191192,0.1508765780201216,6.324555397033691,9.433980941772464,3.1094255447387718,3.025450236750887,58.0,1.0,-1.2997375356739964,2.2827330630039464,-7.615773105863909,-1.0,-1.0,0.0,3.797455756287826,1.861363667384351,0.7300150873755938,2.2360680103302,5.0,2.7639319896698,3.970637785425408
3,example_ellipses_20_1.tif,4,group_a,1,71.0,6.20601616443043,2.1228713393362217,0.6589617406538318,5.0,7.245606184005737,2.2456061840057373,6.808039510753793,2.538819891119292,0.9259979891777428,5.099019527435304,7.807886600494385,2.708867073059081,3.511736680116037,85.0,2.0,-1.1455213771146886,1.2366495165009976,-9.117042111970743,-1.0,-1.0,0.0,3.253566364447276,1.5784760322008071,0.2045576202677863,2.0,4.4721360206604,2.4721360206604004,4.360443535925008
4,example_ellipses_20_1.tif,5,group_a,1,72.0,7.177503370576435,2.3610931873884704,0.5446699185784913,5.099019527435304,8.246211051940918,3.1471915245056143,7.826575014326307,2.552601780214584,0.6781916018572608,6.01980996131897,8.602325439453125,2.5825154781341557,3.53173064951972,83.0,2.0,-1.1010260811771255,0.6475333068305779,-6.343110110686827,-1.0,-1.0,0.0,3.532588896228046,1.9648355517537195,1.154615126598159,2.2360680103302,4.242640495300293,2.0065724849700928,4.315905661011127
5,example_ellipses_20_1.tif,6,group_a,1,68.0,6.669631891390857,2.2694883389867138,0.887187359984776,5.0,7.857687354087829,2.8576873540878287,7.344411429236917,2.400417238919792,0.5536634661546175,5.385164737701416,9.066699266433716,3.6815345287323,3.464679855201537,87.0,3.0,-1.161499955188269,1.020885673771598,-6.994234940184179,-1.0,-1.0,0.0,3.290964679662572,1.551399440132993,1.4184463319496157,2.2360680103302,4.123105525970458,1.887037515640258,4.387423686204222
6,example_ellipses_20_1.tif,7,group_a,1,51.0,7.413034382988425,3.182429815684802,0.7495072385370541,5.377936840057373,9.53420114517212,4.156264305114746,8.002192759046368,3.2930547107777826,0.7264760090213612,5.956857204437256,9.924428939819336,3.96757173538208,3.4067966869245474,65.0,4.0,-1.3829146018395058,1.6615625248772494,-4.672182222219607,-1.0,-1.0,0.0,3.0905955769121647,1.8588527093271117,0.7505100115203428,1.4142135381698608,4.152989268302917,2.738775730133056,4.023387338360683
7,example_ellipses_20_1.tif,8,group_a,1,60.0,7.406508245070776,2.901250847841788,0.1893253115150192,5.517395496368408,10.0,4.482604503631592,8.124860914548238,3.4128322797471324,0.640131231944971,5.830951690673828,10.48776650428772,4.656814813613892,3.208427749083087,72.0,1.0,-1.048224111398061,0.4091951542351739,-8.485281374238573,-1.0,-1.0,0.0,3.577670384460772,2.1916057049709603,0.940897344491452,1.7071067690849304,5.0,3.2928932309150696,4.15577802982847
8,example_ellipses_20_1.tif,9,group_a,1,57.0,7.291033686253062,2.577121835410181,0.086904503390027,5.0,8.485280990600588,3.485280990600588,7.930159376378645,2.775584304372476,0.0319442533210597,5.830951690673828,9.899495124816896,4.068543434143066,3.435415573813777,74.0,2.0,-1.2279642723702096,1.500756274155903,-7.264566530573226,-1.0,-1.0,0.0,3.3041780141934955,1.8105238222638032,0.7218522599452726,2.0,4.242640495300293,2.242640495300293,4.193906411358319
9,example_ellipses_20_2.tif,1,group_a,1,33.0,6.472617077104973,1.8326255779831768,0.5855013346487282,5.0,8.0,3.0,7.321278051896528,2.2231964437374443,0.419698502298359,5.830951690673828,9.219544410705566,3.3885927200317383,2.6112918511228136,71.0,4.0,-1.4495310380425253,1.9669375738802428,-4.559337044004858,-1.0,-1.0,0.0,2.682607660974775,1.2924144685444054,0.5392904657470016,1.4142135381698608,3.6055512428283687,2.191337704658508,4.12750538884892
10,example_ellipses_20_2.tif,2,group_a,1,67.0,6.874461889266968,2.278685203340277,0.3904289057711644,5.743902921676636,8.246211051940918,2.5023081302642822,7.548234889756388,2.5244802872693315,0.2059228562564033,6.082762718200684,9.027692794799805,2.944930076599121,3.4528739394946464,85.0,5.0,-1.2642736799576704,1.2254105912675477,-5.286918407977248,-1.0,-1.0,0.0,3.103012148823057,1.6833360953986216,0.6990363921488564,1.8535533845424648,4.152989268302917,2.2994358837604514,4.321353360672819
11,example_ellipses_20_2.tif,3,group_a,1,54.0,6.890447824089615,2.8720295062375376,0.9788559861565344,5.0,8.37952518463135,3.379525184631349,7.716766891656099,3.2225076326580173,0.7180814596431753,5.099019527435304,9.871708154678345,4.772688627243041,3.0755612614253494,88.0,1.0,-1.096441279758107,0.9046993969499268,-9.38083151964686,-1.0,-1.0,0.0,3.114165032046965,1.5260220016596642,0.6409534499685319,2.0,4.123105525970458,2.123105525970458,4.399811715647592
12,example_ellipses_20_2.tif,4,group_a,1,61.0,7.283403806999082,2.904231932223473,0.4264017450000626,5.0,8.602325439453125,3.602325439453125,7.8473372693921695,2.9988252741581527,0.3451278861819171,5.830951690673828,9.433980941772464,3.6030292510986346,3.237209136594676,87.0,3.0,-1.2164187020268933,1.629196983765896,-8.917222627229906,-1.0,-1.0,0.0,2.99007779498433,1.7859299038915395,1.506388818442819,2.0,4.123105525970458,2.123105525970458,4.362328154365677
13,example_ellipses_20_2.tif,5,group_a,1,63.0,6.518776401640877,2.1283413436116523,-0.2965641802244461,4.4721360206604,8.062257766723633,3.5901217460632324,7.258820620794145,2.4313143576359044,-0.1748796979092042,5.099019527435304,8.999828815460205,3.9008092880249015,3.3650459675693902,92.0,2.0,-1.2121721402458523,1.8211780416264547,-9.385408424348062,-1.0,-1.0,0.0,3.173633174581842,1.6174491747588071,0.7349370564717811,2.0,4.123105525970458,2.123105525970458,4.435351284353219
14,example_ellipses_20_2.tif,6,group_a,1,66.0,6.715791680596092,1.890369742258002,-0.2648837630213443,5.099019527435304,8.0,2.9009804725646964,7.328966711506699,2.2010217396665657,0.028266542784012,5.559564232826233,8.587744951248169,3.028180718421936,3.315722972190289,99.0,5.0,-1.3312875574285334,1.624241322990357,-5.5474044795881365,-1.0,-1.0,0.0,2.640368746251476,1.456547175392738,0.8857159822404589,1.4142135381698608,3.6055512428283687,2.191337704658508,4.467457840299293
