,filename,patch_number,quadrant,0_num_points,0_avg_birth,0_max_birth,0_min_birth,0_stddev_birth,0_skew_birth,0_kurtosis_birth,0_percentile_25_birth,0_percentile_75_birth,0_iqr_birth,0_percentile_10_birth,0_percentile_20_birth,0_percentile_30_birth,0_percentile_40_birth,0_percentile_50_birth,0_percentile_60_birth,0_percentile_70_birth,0_percentile_80_birth,0_percentile_90_birth,0_avg_death,0_max_death,0_min_death,0_stddev_death,0_skew_death,0_kurtosis_death,0_percentile_25_death,0_percentile_75_death,0_iqr_death,0_percentile_10_death,0_percentile_20_death,0_percentile_30_death,0_percentile_40_death,0_percentile_50_death,0_percentile_60_death,0_percentile_70_death,0_percentile_80_death,0_percentile_90_death,0_total_persistence,0_pers_entropy,0_num_points_less_eq_-2,0_num_points_greater_-2,1_num_points,1_avg_birth,1_max_birth,1_min_birth,1_stddev_birth,1_skew_birth,1_kurtosis_birth,1_percentile_25_birth,1_percentile_75_birth,1_iqr_birth,1_percentile_10_birth,1_percentile_20_birth,1_percentile_30_birth,1_percentile_40_birth,1_percentile_50_birth,1_percentile_60_birth,1_percentile_70_birth,1_percentile_80_birth,1_percentile_90_birth,1_avg_death,1_max_death,1_min_death,1_stddev_death,1_skew_death,1_kurtosis_death,1_percentile_25_death,1_percentile_75_death,1_iqr_death,1_percentile_10_death,1_percentile_20_death,1_percentile_30_death,1_percentile_40_death,1_percentile_50_death,1_percentile_60_death,1_percentile_70_death,1_percentile_80_death,1_percentile_90_death,1_total_persistence,1_pers_entropy
0,example_ellipses_20_1_patch.tif,0,2,61.0,-1.4658427518852253,-1.0,-13.41640786499874,2.239529737212252,-5.03107561640371,24.85562454135349,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.455671531311316,7.071067811865476,1.0,1.7344957556762204,0.2090138232565822,-1.0108351433532774,2.1770509831248424,5.0,2.8229490168751576,1.0,2.0,2.23606797749979,3.0,3.08113883008419,4.123105625617661,4.311489267483372,5.0,6.0,283.3402918786789,3.968721927122201,3.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,example_ellipses_20_1_patch.tif,0,3,16.0,-6.291497170399854,-3.0,-13.41640786499874,4.152694014553365,-1.2293077043108371,-0.4700725610610554,-6.604101966249685,-3.9937170380792426,2.610384928170442,-13.20820393249937,-13.0,-4.47213595499958,-4.47213595499958,-4.357388321059432,-4.242640687119285,-4.123105625617661,-3.6055512754639887,-3.3027756377319943,-5.976628757511377,-2.8284271247461903,-13.0,4.135041629119012,-1.227175316859133,-0.480843421696369,-6.363961030678928,-3.4947328716400863,2.8692281590388413,-12.863961030678928,-12.727922061357855,-4.242640687119285,-4.123105625617661,-4.123105625617661,-4.123105625617661,-3.6055512754639887,-3.1622776601683795,-2.995352392457285,5.037894606215625,2.68172138290094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,example_ellipses_20_1_patch.tif,1,2,65.0,-1.38543858978279,-1.0,-17.204650534085253,2.274987618119272,-6.24522666136439,40.262739326416224,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.288576339342974,9.219544457292889,1.0,1.6707426457282586,0.7864887835325831,1.2454914953175995,2.0,4.242640687119285,2.2426406871192848,1.1242640687119287,1.4142135623730951,2.23606797749979,2.8627416997969526,3.1622776601683795,3.6055512754639887,4.0,4.334438794271404,5.299321219071989,283.3177435197463,4.05630724874286,2.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,example_ellipses_20_1_patch.tif,1,3,2.0,-17.0,-17.0,-17.0,0.0,,,-17.0,-17.0,0.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-16.64331697709324,-16.64331697709324,-16.64331697709324,0.0,,,-16.64331697709324,-16.64331697709324,0.0,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,-16.64331697709324,0.7133660458135225,0.6931471805599453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,example_ellipses_20_1_patch.tif,2,2,58.0,-1.2997375226008665,-1.0,-18.384776310850235,2.2827329634419518,-7.615773105863908,57.99999999999999,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.797455778604375,9.848857801796106,1.0,1.8613636885743865,0.7300150767950485,0.9005756134956346,2.23606797749979,5.0,2.76393202250021,1.4142135623730951,2.23606797749979,2.709955295296911,3.0649110640673523,4.0,4.123105625617661,5.0,5.385164807134504,5.89857113690718,273.4549793804494,3.9706377844040577,1.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,example_ellipses_20_1_patch.tif,2,3,1.0,-17.88854381999832,-17.88854381999832,-17.88854381999832,,,,-17.88854381999832,-17.88854381999832,0.0,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.88854381999832,-17.804493814764857,-17.804493814764857,-17.804493814764857,,,,-17.804493814764857,-17.804493814764857,0.0,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,-17.804493814764857,0.0840500052334611,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,example_ellipses_20_1_patch.tif,3,2,85.0,-1.1455213750217996,-1.0,-12.36931687685298,1.2366494972798672,-9.117042108887702,83.65273782914082,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.253566380443397,7.071067811865476,1.0,1.5784760374856852,0.2045576010185798,-0.77065413344457,2.0,4.47213595499958,2.47213595499958,1.0,1.4142135623730951,2.23606797749979,2.8284271247461903,3.1622776601683795,4.0,4.242640687119285,5.0,5.0,358.2995759572453,4.36044353590826,2.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,example_ellipses_20_1_patch.tif,3,3,4.0,-7.0,-2.0,-12.0,5.773502691896258,0.0,-6.0,-12.0,-2.0,10.0,-12.0,-12.0,-12.0,-9.999999999999998,-7.0,-4.000000000000002,-2.0,-2.0,-2.0,-6.55945673654636,-1.4142135623730951,-11.704699910719624,5.941215063310038,5.421061896480616e-16,-6.000000000000003,-11.704699910719624,-1.4142135623730951,10.290486348346528,-11.704699910719624,-11.704699910719624,-11.704699910719624,-9.646602641050317,-6.559456736546359,-3.4723108320424023,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951,1.762173053814562,1.3309162101899912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,example_ellipses_20_1_patch.tif,4,2,83.0,-1.1010260820136686,-1.0,-5.385164807134504,0.6475333124327186,-6.343110118040462,39.27549142805649,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5325889079374733,11.0,1.0,1.9648355562655853,1.154615109099427,1.8974222080035368,2.23606797749979,4.242640687119285,2.006572709619495,1.0414213562373094,2.23606797749979,2.23606797749979,2.8284271247461903,3.1622776601683795,3.6055512754639887,4.123105625617661,4.47213595499958,6.082762530298219,375.6722904508728,4.315905661002528,2.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,example_ellipses_20_1_patch.tif,4,3,12.0,-4.51122958926947,-4.0,-5.0,0.4029088679720063,-0.1378738766495131,-1.579995632521204,-5.0,-4.123105625617661,0.8768943743823394,-5.0,-5.0,-4.841640786499874,-4.47213595499958,-4.47213595499958,-4.47213595499958,-4.227814724432236,-4.123105625617661,-4.012310562561766,-4.152594916366682,-3.6055512754639887,-4.47213595499958,0.312099274239208,0.7270315011936197,-0.3458581375367351,-4.47213595499958,-4.0,0.4721359549995796,-4.47213595499958,-4.47213595499958,-4.403287374635491,-4.242640687119285,-4.182873156368473,-4.123105625617661,-4.036931687685298,-4.0,-3.6449961479175896,4.303616074833453,2.3910030468565937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,example_ellipses_20_1_patch.tif,5,2,87.0,-1.1614999580705538,-1.0,-9.219544457292889,1.0208856889063311,-6.994234871345578,50.75251458999406,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2909646937461754,10.630145812734648,1.0,1.5513994406128884,1.4184462059515524,5.036956852286038,2.23606797749979,4.123105625617661,1.8870376481178708,1.4142135623730951,2.23606797749979,2.23606797749979,2.8284271247461903,3.1622776601683795,3.6055512754639887,4.0,4.242640687119285,5.0,374.8539155570164,4.387423685530355,3.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,example_ellipses_20_1_patch.tif,5,3,2.0,-5.099019513592784,-5.099019513592784,-5.099019513592784,0.0,,,-5.099019513592784,-5.099019513592784,0.0,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.099019513592784,-5.0,-5.0,-5.0,0.0,,,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.1980390271855672,0.6931471805599453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,example_ellipses_20_1_patch.tif,6,2,65.0,-1.3829146077771612,-1.0,-10.049875621120888,1.6615625514565304,-4.6721822280119865,21.759720592184323,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0905955919805708,8.54400374531753,1.0,1.8588527301363909,0.7505100429795747,0.0558298671181543,1.4142135623730951,4.152989390993067,2.738775828619972,1.0,1.0,1.4142135623730951,2.23606797749979,2.8284271247461903,3.516896552404865,4.0,5.0,5.299321219071989,277.6376917711511,4.023387337819126,4.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,example_ellipses_20_1_patch.tif,6,3,20.0,-4.743781405710303,-1.4142135623730951,-9.433981132056603,2.574477560662543,-1.094014573309266,0.0907611093720359,-5.099019513592784,-3.6055512754639887,1.493468238128795,-9.433981132056603,-5.966011837285547,-4.6602010225775405,-3.952185147278224,-3.6055512754639887,-3.6055512754639887,-3.6055512754639887,-3.5168965524048663,-2.9874712503888485,-4.326368395519613,-1.0,-9.219544457292889,2.632296677058198,-1.069485198138146,-0.0248212877758069,-5.0,-2.8284271247461903,2.1715728752538097,-8.971799164728532,-5.788854381999831,-4.386173937932362,-3.546608846348092,-3.1622776601683795,-3.1622776601683795,-2.8284271247461903,-2.8284271247461903,-2.645584412271569,8.348260203813739,2.889402201394165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,example_ellipses_20_1_patch.tif,7,2,72.0,-1.0482241104861052,-1.0,-4.47213595499958,0.409195146496972,-8.485281374238573,72.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5776704007408124,10.049875621120888,1.0,2.191605705413527,0.9408973245360182,0.6461177241317948,1.7071067811865477,5.0,3.2928932188134525,1.0,1.4142135623730951,2.23606797749979,2.8284271247461903,3.1622776601683795,4.0,4.242640687119285,5.099019513592784,6.082762530298219,325.0145984525976,4.155778030215722,1.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,example_ellipses_20_1_patch.tif,8,2,74.0,-1.2279642798006838,-1.0,-13.038404810405298,1.5007563200001357,-7.264566506150785,55.232426426469175,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.304178029764003,8.0,1.0,1.810523830647331,0.7218522298446934,-0.096782801650431,2.0,4.242640687119285,2.2426406871192848,1.0,1.6485281374238574,2.23606797749979,2.23606797749979,3.0,3.6055512754639887,4.123105625617661,4.47213595499958,5.96619037896906,319.0359480676175,4.193906410321131,2.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,example_ellipses_20_1_patch.tif,8,3,6.0,-10.050038436044751,-4.242640687119285,-12.806248474865695,4.073827797149477,0.9983471770204289,-1.6701376142429014,-12.737177377684688,-7.171364626886295,5.565812750798393,-12.806248474865695,-12.806248474865695,-12.668106280503682,-12.529964086141668,-12.529964086141668,-12.529964086141668,-8.957564446638086,-5.385164807134504,-4.813902747126894,-9.7660241715614,-4.123105625617661,-12.529964086141668,4.0434794739894695,0.9831053406582062,-1.7522381260975388,-12.449111968539675,-6.8016389039334255,5.64747306460625,-12.529964086141668,-12.529964086141668,-12.368259850937685,-12.206555615733702,-12.206555615733702,-12.206555615733702,-8.603277807866851,-5.0,-4.561552812808831,1.7040855869001144,1.7432521985830884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,example_ellipses_20_2_patch.tif,0,2,71.0,-1.4495310399664458,-1.0,-11.704699910719624,1.9669375880008395,-4.559337079172502,20.439694878078534,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.6826076659040408,6.0,1.0,1.2924144787578458,0.5392904842896912,-0.3807023052855793,1.4142135623730951,3.6055512754639887,2.1913377130908938,1.0,1.4142135623730951,2.0,2.23606797749979,2.23606797749979,3.0,3.1622776601683795,3.684441020371192,4.47213595499958,278.99454054018094,4.127505390043404,4.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,example_ellipses_20_2_patch.tif,0,3,24.0,-6.531839158037619,-3.1622776601683795,-11.0,2.0112926097265373,-0.4647160736306869,0.461779746907208,-7.664392248374593,-5.0,2.664392248374593,-7.810249675906654,-7.810249675906654,-7.615773105863907,-7.183095603115477,-6.889635872182423,-5.867124186093779,-5.0,-5.0,-4.47213595499958,-6.090536124715688,-3.0,-10.770329614269007,2.018704633355343,-0.6602005688469921,0.7166099287787167,-7.071067811865476,-4.242640687119285,2.828427124746192,-7.071067811865476,-7.071067811865476,-7.071067811865476,-6.998495035992255,-6.555664084966109,-5.588756693194174,-4.242640687119285,-4.242640687119285,-4.242640687119285,10.591272799726404,3.027653355302676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,example_ellipses_20_2_patch.tif,1,2,85.0,-1.2642736884678385,-1.0,-8.54400374531753,1.225410637952854,-5.286918458383,28.756396797709776,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.10301216836138,8.54400374531753,1.0,1.683336118789264,0.6990364202262771,0.0426974757629587,1.8535533905932735,4.152989390993067,2.299436000399793,1.0,1.4142135623730951,2.0,2.23606797749979,3.0,3.129822128134703,4.0,4.683281572999751,5.611372180469548,359.5722819168046,4.32135335869107,5.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,example_ellipses_20_2_patch.tif,1,3,10.0,-2.307326211449112,-2.0,-2.8284271247461903,0.291062715578406,-1.2548350574964644,0.6926720132278357,-2.23606797749979,-2.23606797749979,0.0,-2.8284271247461903,-2.3545398069490697,-2.23606797749979,-2.23606797749979,-2.23606797749979,-2.23606797749979,-2.23606797749979,-2.188854381999832,-2.0,-1.9300563079745767,-1.4142135623730951,-2.23606797749979,0.2884492022437399,1.245149397374831,0.6827828610695796,-2.0,-2.0,0.0,-2.23606797749979,-2.047213595499958,-2.0,-2.0,-2.0,-2.0,-2.0,-1.882842712474619,-1.4142135623730951,3.77269903474535,2.2002965939117702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,example_ellipses_20_2_patch.tif,2,2,88.0,-1.096441283869377,-1.0,-9.486832980505138,0.904699435517058,-9.38083151964686,88.00000000000001,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.1141650476675045,6.708203932499369,1.0,1.5260220245221188,0.6409534766235055,-0.3623178082030982,2.0,4.123105625617661,2.1231056256176606,1.4142135623730951,2.0,2.23606797749979,2.23606797749979,2.8284271247461903,3.1622776601683795,3.6055512754639887,4.42623690142352,5.213477631009473,357.9323591470729,4.399811714377379,1.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
