,run,average accuracy,average precision,averag recall,average F1
0,0.0,0.8699999999999999,0.9166666666666667,0.8333333333333333,0.8514285714285716
0,1.0,0.9066666666666668,0.925,0.9166666666666666,0.8990476190476189
0,2.0,0.9433333333333334,0.9166666666666667,1.0,0.9514285714285714
0,3.0,0.8933333333333333,0.9166666666666666,0.9,0.8814285714285715
0,4.0,0.9266666666666665,0.975,0.9,0.9157142857142858
0,5.0,0.9233333333333335,0.85,0.9,0.8714285714285716
0,6.0,0.9233333333333335,0.925,0.9,0.9023809523809525
0,7.0,0.8866666666666667,0.9,0.8833333333333332,0.8800000000000001
0,8.0,0.93,0.95,0.9333333333333332,0.9314285714285713
0,9.0,0.8366666666666667,0.8766666666666666,0.8666666666666668,0.8264285714285713
